omim_id,Description
113610,"De Yebenes et al. (1988)described a syndrome of branchial myoclonus, spastic paraparesis, and cerebellar ataxia in 6 members of 2 generations of a family that lived in the province of Toledo in Spain. Male-to-male transmission occurred. Rhythmic myoclonus involving the palate, pharynx, larynx, and face was followed by truncal ataxia and spastic paraparesis. Age of onset ranged from 40 to 50 years. Computerized tomography and magnetic resonance imaging showed mild atrophy of the cerebral and cerebellar cortex and severe atrophy of the medulla and spinal cord. The pons appeared normal, and the olives did not seem hypertrophic. Reduction of the serotonin metabolite 5-hydroxyindoleacetic acid was found in the cerebrospinal fluid. Treatment with 5-hydroxytryptophan and carbidopa at maximal tolerated doses improved ataxia mildly but did not modify the myoclonus. Treatment with other agents was unsuccessful. The clinical symptoms were progressive, leading to death or severe disability 5 to 10 years after onset of the disease. Branchial myoclonus is rare but has been observed with a variety of disorders including demyelinating disease, infarction, arteritis, neoplasm, and trauma involving the lower brainstem or the dentato-rubro-olivary pathways.Sperling and Herrmann (1985),Leger et al. (1986), andSasaki et al. (1987)described branchial myoclonus in patients with spinocerebellar degeneration and olivopontocerebellar atrophy, butde Yebenes et al. (1988)thought that the disorder in their family was different from that reported in any of these 3 publications.Howard et al. (1993)described a Kuwaiti family that came to attention because of 2 sisters and a brother, out of a sibship of 10, who presented with a progressive neurologic disorder beginning in the third decade of life that was characterized by palatal myoclonus, nystagmus, bulbar weakness, and spastic tetraparesis. There was no evidence of intellectual deterioration or seizures. CT scan showed marked brainstem atrophy in 2 patients and basal ganglia calcification in 1. MRI scan in 1 showed high signal in the brainstem and periventricular region, and cerebral biopsy in this patient showed myelin loss and the presence of Rosenthal fibers, which are particularly characteristic of Alexander disease (203450). A similar disease affected the mother, who died at age 45, a maternal aunt, who died at age 50, and 2 daughters of the aunt who were still living.Howard et al. (1993)suggested autosomal dominant inheritance. It may be noteworthy that the parents of the 3 sibs were consanguineous, as were also the parents of the 'mother' and 'maternal aunt.' Palatal myoclonus, which also occurs in Machado-Joseph disease (109150) and in spinocerebellar ataxia type 2 (183090), is characterized by rhythmic oscillations of the soft palate. It is also called branchial myoclonus because it may be associated with synchronous contractions of muscles derived from the branchial arches, including the diaphragm, tongue, and sternomastoids."
113800,A number sign (#) is used with this entry because of evidence that epidermolytic hyperkeratosis (EHK) is caused by heterozygous mutation in the keratin-1 gene (KRT1;139350) on chromosome 12q13.
114480,"A number sign (#) is used with this entry because of evidence that mutation at more than one locus can be involved in different families or even in the same case. Breast-ovarian cancer-1 (BROVCA1;604370) can be caused by mutation in the BRCA1 gene (113705) on chromosome 17q, BROVCA2 (600185) by mutation in the BRCA2 gene (612555) on chromosome 13q12, BROVCA3 (613399) by mutation in the RAD51C gene (602774) on chromosome 17q22, and BROVCA4 (614291) by mutation in the RAD51D gene (602954) on chromosome 17q11.Mutation in the androgen receptor gene (AR;313700) on the X chromosome has been found in cases of male breast cancer (see313700.0016).Mutation in the RAD51 gene (179617) has been found in patients with familial breast cancer (179617.0001). Breast cancer susceptibility alleles have been reported in the CHEK2 gene (see604373.0001and604373.0012) and in the BARD1 gene (see601593.0001).Furthermore, the PPM1D gene (605100) on 17q is commonly amplified in breast cancer and appears to lead to cell transformation by abrogating p53 (191170) tumor suppressor activity (Bulavin et al., 2002). Somatic mutations in the following genes have been identified in breast cancer: SLC22A18 (602631) on 11p15, TP53 (191170) on 17p13, RB1CC1 (606837) on 8q11, PIK3CA (171834) on 3q26, and AKT1 (164730) on 14q32.An allele of the CASP8 gene (601763.0003) has been associated with reduced risk of breast cancer. An allele of the TGFB1 gene (190180.0007) has been associated with an increased risk of invasive breast cancer. An allele of the NQO1 gene (125860.0001) has been associated with breast cancer prognosis, including survival after chemotherapy and after metastasis. Variation in the HMMR gene (600936) has also been shown to modify susceptibility.Mutations in genes responsible for various forms of Fanconi anemia (see, e.g.,227650) have been identified as susceptibility factors for breast cancer. These include BRCA2, PALB2 (610355), BRIP1 (605882), and RAD51C (602774).Breast cancer is a feature of several cancer syndromes, including Li-Fraumeni syndrome (151623) due to germline mutations in p53; Cowden syndrome (158350) due to mutations in the PTEN gene (601728); and Peutz-Jeghers syndrome (175200) due to mutations in the STK11 gene (602216). There also appears to be an increased risk of breast and ovarian cancer in ataxia-telangiectasia (208900), and there is some evidence that heterozygotes for some mutations in the ataxia-telangiectasia mutated gene (ATM; e.g.,607585.0032) have an increased risk of breast cancer. Germline and somatic mutations in the CDH1 gene (192090) have been found in diffuse gastric and lobular breast cancer syndrome (DBLBC;137215).Some genomic regions have been found to be amplified in breast cancer, including 8q24, 20q13, 11q12, and 8p12-p11 (Yang et al., 2006). The NCOA3 (601937) and ZNF217 (602967) genes, located on 20q, undergo amplification in breast cancer; when overexpressed, these genes confer cellular phenotypes consistent with a role in tumor formation (Anzick et al., 1997;Collins et al., 1998)."
114500,A number sign (#) is used with this entry because mutations in several different genes have been identified in colorectal cancer (CRC).
114550,"A number sign (#) is used with this entry because somatic mutations in a number of different genes have been identified in hepatocellular carcinoma (HCC) and hepatoblastoma. These include TP53 (191170), MET (164860), CTNNB1 (116806), PIK3CA (171834), AXIN1 (603816), and APC (611731).See142330for familial hepatic adenoma, sometimes associated with hepatocellular carcinoma."
114580,"Chronic mucocutaneous candidiasis (CMC) includes a group of rare disorders with altered immune responses, selective against Candida, characterized by persistent and/or recurrent infections of the skin, nails, and mucous membranes, caused by organisms of the genus Candida, mainly Candida albicans (Zuccarello et al., 2002).Isolated familial chronic mucocutaneous candidiasis is distinct from candidiasis with endocrinopathy (240300).In myeloperoxidase deficiency (254600), susceptibility to candidiasis may be increased.Genetic Heterogeneity of CandidiasisFamilial candidiasis-1 (CANDF1) maps to chromosome 2p. CANDF2 (212050) is caused by mutation in the CARD9 gene (607212) on chromosome 9q34.3. CANDF3 (607644), a form restricted to nails of the hands and feet, maps to chromosome 11. CANDF4 (613108) is caused by mutation in the CLEC7A gene (606264) on chromosome 12p13. CANDF6 (613956) is caused by mutation in the IL17F gene (606496) on chromosome 6p12. CANDF7 (614162) is caused by mutation in the STAT1 gene (600555) on chromosome 2q32. CANDF8 (615527) is caused by mutation in the TRAF3IP2 gene (607043) on chromosome 6q21. CANDF9 (616445) is caused by mutation in the IL17RC gene (610925) on chromosome 3p25.A form of familial candidiasis, previously thought to be isolated and designated CANDF5, has been found to be part of a primary immune deficiency (IMD51;613953) that includes Staphylococcal skin infections and increased susceptibility to chronic bacterial respiratory infections."
115000,A number sign (#) is used with this entry because of evidence that ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome (VACRDS) is caused by heterozygous mutation in the RYR2 gene (180902) on chromosome 1q43.
115195,A number sign (#) is used with this entry because of evidence that familial hypertrophic cardiomyopathy-2 (CMH2) is caused by heterozygous mutation in the cardiac troponin-T2 gene (TNNT2;191045) on chromosome 1q32.
115300,A number sign (#) is used with this entry because of evidence that autosomal dominant hypercarotenemia and vitamin A deficiency (HCVAD) is caused by heterozygous mutation in the BCMO1 gene (BCO1;605748) on chromosome 16q23. One such patient has been reported.
115645,"Wellesley et al. (1991)described a mother and 2 children, a boy and a girl, with short stature, cataracts, and aberrant oral frenula. The mother was 150 cm tall (less than the 3rd centile) and had had cataracts removed in early adulthood. The boy had left ptosis with hypermetropia, and bilateral posterior polar cataracts were removed at the age of 3 years. His facial changes consisted of epicanthal folds. There were numerous aberrant frenula of the upper alveolar margin. He had a small umbilical hernia and had had bilateral inguinal herniorrhaphies. The girl had a cavernous hemangioma at the right corner of her mouth but at 19 months had not yet developed cataracts which occurred later in her brother."
119500,A number sign (#) is used with this entry because popliteal pterygium syndrome (PPS) is caused by heterozygous mutation in the gene encoding interferon regulatory factor-6 (IRF6;607199) on chromosome 1q32. One patient with a homozygous mutation in the IRF6 gene has been reported.Van der Woude syndrome-1 (VWS1;119300) is an allelic disorder.
121200,"A number sign (#) is used with this entry because of evidence that benign familial neonatal seizures-1 (BFNS1) is caused by heterozygous mutation in the KCNQ2 gene (602235) on chromosome 20q13.Some patients with KCNQ2 mutations have a more severe seizure disorder, consistent with developmental and epileptic encephalopathy-7 (DEE7;613720)."
121201,A number sign (#) is used with this entry because benign familial neonatal seizures-2 (BFNS2) is caused by heterozygous mutation in the KCNQ3 gene (602232) on chromosome 8q24.
124200,"A number sign (#) is used with this entry because Darier-White disease (DAR) is caused by heterozygous mutation in the ATP2A2 gene (108740), which encodes the sarcoplasmic reticulum Ca(2+)-ATPase-2, on chromosome 12q24."
125310,A number sign (#) is used with this entry because of evidence that autosomal dominant cerebral arteriopathy with subcortical infarcts and leukoencephalopathy type 1 (CADASIL1) is caused by heterozygous mutation in the NOTCH3 gene (600276) on chromosome 19p13.
125320,"Rosenberg et al. (1989)described a family in which 14 persons in 5 generations suffered from severe dementia and parkinsonism. In 2 autopsied members of the family, neuropathologic correlations consisted of extracellular hyaline eosinophilic, congophilic amyloid plaques in the cerebral cortex, basal ganglia, thalamus, and substantia nigra, in descending order of frequency, as well as atrophy and gliosis of the basal ganglia and substantia nigra. The extracellular plaque did not stain with antibody raised against the prion protein or with 2 separate anti-amyloid A4 antibodies. Although no instance of male-to-male transmission was identified in the family, the inheritance was thought to be autosomal dominant. Both Alzheimer disease and Gerstmann-Straussler syndrome could be excluded by the properties of the amyloid."
125600,"Although nothing is clearly established about the genetics of this disorder, the occurrence predominantly in blacks is consistent with a genetic basis. As many as 35% of adult blacks may be affected. The disorder is somewhat more frequent in females. The papules occur most typically on the face below the eyes and on the cheeks.Castellani (1925)described and named this disorder, which he found to be very frequent among the blacks of Jamaica and Central America. The lesions are black and dark-brown papules, sometimes cupoliform or at times flattened; they are situated on the face, principally on both malar regions, being rare or absent on the lower parts of the face and chin. Onset is usually about the time of puberty.Butterworth and Strean (1962)expressed the opinion that this condition is merely a variant of seborrheic keratoses that occurs predominantly in blacks."
125700,"A number sign (#) is used with this entry because neurohypophyseal diabetes insipidus is caused by heterozygous mutation in the arginine vasopressin gene (AVP;192340) on chromosome 20p13. An X-linked form of neurohypophyseal diabetes insipidus (304900) has been suggested, but the evidence is weak."
125850,A number sign (#) is used with this entry because of evidence that type 1 maturity-onset diabetes of the young (MODY) can be caused by mutation in the gene encoding hepatocyte nuclear factor-4-alpha (HNF4A;600281) on chromosome 20.Fajans et al. (2001)reported that mutation in the HNF4A gene is a relatively uncommon cause of MODY. They stated that only 13 families had been identified as having this form of MODY.A specific missense mutation in the HNF4A gene (R76W;600281.0008) causes MODY associated with Fanconi renotubular syndrome-4 (FRTS4;616026).
125851,A number sign (#) is used with this entry because maturity-onset diabetes of the young type 2 (MODY2) is caused by heterozygous mutation in the GCK gene (138079) on chromosome 7p13.
125852,"A number sign (#) is used with this entry because of evidence that susceptibility to type 1 diabetes mellitus-2 (T1D2) is conferred by heterozygous mutation in the INS gene (176730) on chromosome 11p15.For a phenotypic description and a discussion of genetic heterogeneity of T1D, see222100."
125853,"A number sign (#) is used with this entry because of evidence that more than one gene is involved in the causation of type 2 diabetes (T2D), also known as noninsulin-dependent diabetes mellitus (NIDDM)."
126200,"A number sign (#) is used with this entry because of evidence that susceptibility to multiple sclerosis-1 (MS1) is associated with variation in certain HLA genes on chromosome 6p21, including HLA-A (142800), HLA-DRB1 (142857), HLA-DQB1 (604305), HLA-DRA (142860), on chromosome 6p21.3."
127350,Funderburk et al. (1976)described a kindred in which males and females in 4 generations appeared to have this combination. No male-to-male transmission was noted.
127750,"A number sign (#) is used with this entry because dementia with Lewy bodies (DLB) can be caused by mutation in the alpha-synuclein (SNCA;163890) or beta-synuclein (SNCB;602569) genes.Mutation in the SNCA gene can also cause familial Parkinson disease-1 (PARK1;168601) and Parkinson disease-4 (PARK4;605543).The epsilon-4 allele of the APOE gene (107741) and the B allele of the CYP2D6 gene (124030), a cytochrome P-450 monooxygenase, have also been implicated in DLB.A mutation in the prion protein gene (PRNP; see176640.0017) has been identified in 1 patient with DLB. Some patients with a diagnosis consistent with Lewy body disease or dementia have mutations in the LRRK2 gene (609007), which is associated with Parkinson disease-8 (PARK8;607060) (Giasson et al., 2006;Ross et al., 2006).One family with a mutation in the PSEN2 gene (600759.0009), usually associated with Alzheimer disease-4 (AD4;606889), had clinical and neuropathologic findings consistent with DLB (Piscopo et al., 2008)."
128101,"A number sign (#) is used with this entry because of evidence that autosomal dominant torsion dystonia-4 (DYT4) is caused by heterozygous mutation in the TUBB4A gene (602662) on chromosome 19p13.Mutation in the TUBB4A gene can also cause hypomyelinating leukodystrophy-6 (HLD6;612438), a more severe disorder."
131200,"Endometriosis, often in the form of 'chocolate cysts' of the ovary, has been reported in sisters rather frequently and at least twice in mother and daughter(s).Hinson et al. (1981)reported 2 sisters with pelvic endometriosis and catamenial pneumothorax. Both were typical of reported cases of catamenial pneumothorax in that pneumothorax was always on the right, occurred only with menses, and had onset in the fourth decade. Hormonal suppression of menses helped the symptoms. Diaphragmatic perforations were found at surgery in 1 of the sisters."
