db_id,Description
DB00153,"Ergocalciferol is an inactivated vitamin D analog.[A177526] It is synthesized by some plants in the presence of UVB light.[T577] The production of ergocalciferol was prompted by the identification of dietary deficiency, more specifically vitamin D, as the main causative factor for the development of rickets. Ergocalciferol was isolated for the first time from yeast in 1931 and its structure was elucidated in 1932.[T580]

Ergocalciferol is considered the first vitamin D analog and is differentiated from [cholecalciferol] by the presence of a double bond between C22 and C23 and the presence of a methyl group at C24. These modifications reduce the affinity of ergocalciferol for the vitamin D binding protein resulting in faster clearance, limits its activation, and alters its catabolism.[A177637]

The first approved product containing ergocalciferol under the FDA records was developed by US Pharm Holdings and was FDA approved in 1941.[L6058]"
DB00160,"Alanine is a non-essential amino acid that occurs in high levels in its free state in plasma. It is produced from pyruvate by transamination. It is involved in sugar and acid metabolism, increases immunity, and provides energy for muscle tissue, brain, and the central nervous system."
DB00162,"Retinol and derivatives of retinol that play an essential role in metabolic functioning of the retina, the growth of and differentiation of epithelial tissue, the growth of bone, reproduction, and the immune response. Dietary vitamin A is derived from a variety of carotenoids found in plants. It is enriched in the liver, egg yolks, and the fat component of dairy products."
DB00163,"In 1922, vitamin E was demonstrated to be an essential nutrient[A32448]. Vitamin E is a term used to describe 8 different fat soluble tocopherols and tocotrienols, alpha-tocopherol being the most biologically active[A176104]. Vitamin E acts as an antioxidant, protecting cell membranes from oxidative damage[A176104]. The antioxidant effects are currently being researched for use in the treatment of diseases causing bone loss, cardiovascular diseases, diabetes mellitus and associated comorbidities, eye diseases, inflammatory diseases (including skin conditions), lipid disorders, neurological diseases, and radiation damage[A176369]. Though this research is so far inconclusive, vitamin E remains a popular supplement and is generally considered safe by the FDA[FDA Label]."
DB00165,"Pyridoxine is the 4-methanol form of vitamin B6, an important water-soluble vitamin that is naturally present in many foods. As its classification as a vitamin implies, Vitamin B6 (and pyridoxine) are essential nutrients required for normal functioning of many biological systems within the body. While many plants and microorganisms are able to synthesize pyridoxine through endogenous biological processes, animals must obtain it through their diet. 

More specifically, pyridoxine is converted to pyridoxal 5-phosphate in the body, which is an important coenzyme for synthesis of amino acids, neurotransmitters (serotonin, norepinephrine), sphingolipids, and aminolevulinic acid. It's important to note that Vitamin B6 is the collective term for a group of three related compounds, pyridoxine, pyridoxal, and pyridoxamine, and their phosphorylated derivatives, pyridoxine 5'-phosphate, pyridoxal 5'-phosphate and pyridoxamine 5'-phosphate. Although all six of these compounds should technically be referred to as vitamin B6, the term vitamin B6 is commonly used interchangeably with just one of them, pyridoxine [A32836]. 

Vitamin B6, principally in its biologically active coenzyme form pyridoxal 5'-phosphate, is involved in a wide range of biochemical reactions, including the metabolism of amino acids and glycogen, the synthesis of nucleic acids, hemogloblin, sphingomyelin and other sphingolipids, and the synthesis of the neurotransmitters serotonin, dopamine, norepinephrine and gamma-aminobutyric acid (GABA) [A32837]. 

Pyridoxine is used medically for the treatment of vitamin B6 deficiency and for the prophylaxis of isoniazid-induced peripheral neuropathy (due to [DB00951]'s mechanism of action which competitively inhibits the action of pyridoxine in the above-mentioned metabolic functions). It is also used in combination with [DB00366] (as the commercially available product Diclectin) for the treatment of nausea and vomiting in pregnancy."
DB00167,An essential branched-chain aliphatic amino acid found in many proteins. It is an isomer of leucine. It is important in hemoglobin synthesis and regulation of blood sugar and energy levels.
DB00169,"Vitamin D, in general, is a secosteroid generated in the skin when 7-dehydrocholesterol located there interacts with ultraviolet irradiation - like that commonly found in sunlight [L5689]. Both the endogenous form of vitamin D (that results from 7-dehydrocholesterol transformation), vitamin D3 (cholecalciferol), and the plant-derived form, vitamin D2 (ergocalciferol), are considered the main forms of vitamin d and are found in various types of food for daily intake [L5689]. Structurally, ergocalciferol differs from cholecalciferol in that it possesses a double bond between C22 and C23 and has an additional methyl group at C24 [L5689]. Finally, ergocalciferol is pharmacologically less potent than cholecalciferol, which makes vitamin D3 the preferred agent for medical use [L5689].

Appropriate levels of vitamin D must be upheld in the body in order to maintain calcium and phosphorus levels in a healthy physiologic range to sustain a variety of metabolic functions, transcription regulation, and bone metabolism [A223, L5689, L1782, L5771, F4027, F4042, F4048]. However, studies are also ongoing to determine whether or not cholecalciferol may also play certain roles in cancer, autoimmune disorders, cardiovascular disease, and other medical conditions that may be associated with vitamin D deficiency [L5689]."
DB00175,"Pravastatin is the 6-alpha-hydroxy acid form of [mevastatin].[T303] Pravastatin was firstly approved in 1991 becoming the second available statin in the United States. It was the first statin administered as the active form and not as a prodrug.[T274] This drug was developed by Sankyo Co. Ltd.; however, the first approved pravastatin product was developed by Bristol Myers Squibb and FDA approved in 1991.[L6142]

Pravastatin is made through a fermentation process in which [mevastatin] is first obtained. The manufacturing process is followed by the hydrolysis of the lactone group and the biological hydroxylation with _Streptomyces carbophilus_ to introduce the allylic 6-alcohol group.[T239]"
DB00176,"Fluvoxamine is an antidepressant which functions pharmacologically as a selective serotonin reuptake inhibitor. Though it is in the same class as other SSRI drugs, it is most often used to treat obsessive-compulsive disorder.
Fluvoxamine has been in use in clinical practice since 1983 and has a clinical trial database comprised of approximately 35,000 patients. It was launched in the US in December 1994 and in Japan in June 1999. As of the end of 1995, more than 10 million patients worldwide have been treated with fluvoxamine."
DB00177,"Valsartan belongs to the angiotensin II receptor blocker (ARB) family of drugs, which also includes [telmisartan], [candesartan], [losartan], [olmesartan], and [irbesartan]. ARBs selectively bind to angiotensin receptor 1 (AT1) and prevent the protein angiotensin II from binding and exerting its hypertensive effects, which include vasoconstriction, stimulation and synthesis of aldosterone and ADH, cardiac stimulation, and renal reabsorption of sodium, among others. Overall, valsartan's physiologic effects lead to reduced blood pressure, lower aldosterone levels, reduced cardiac activity, and increased excretion of sodium. 

Valsartan also affects the renin-angiotensin aldosterone system (RAAS), which plays an important role in hemostasis and regulation of kidney, vascular, and cardiac functions. Pharmacological blockade of RAAS via  AT1 receptor blockade inhibits negative regulatory feedback within RAAS, which is a contributing factor to the pathogenesis and progression of cardiovascular disease, heart failure, and renal disease. In particular, heart failure is associated with chronic activation of RAAS, leading to inappropriate fluid retention, vasoconstriction, and ultimately a further decline in left ventricular function. ARBs have been shown to have a protective effect on the heart by improving cardiac function, reducing afterload, increasing cardiac output and preventing ventricular hypertrophy and remodelling.[A174154] 

By comparison, the angiotensin-converting enzyme inhibitor (ACEI) class of medications (which includes drugs such as [ramipril], [lisinopril], and [perindopril]) inhibit the conversion of angiotensin I to angiotensin II through inhibition of the ACE enzyme. However, this does not prevent the formation of all angiotensin II within the body. The angiotensin II receptor blocker (ARB) family of drugs unique in that it blocks all angiotensin II activity, regardless of where or how it was synthesized. 

Valsartan is commonly used for the management of hypertension, heart failure, and Type 2 Diabetes-associated nephropathy, particularly in patients who are unable to tolerate ACE inhibitors. ARBs such as valsartan have been shown in a number of large-scale clinical outcomes trials to improve cardiovascular outcomes including reducing risk of myocardial infarction, stroke, the progression of heart failure, and hospitalization.[A174124,A178153,A173869,A185324,A185327,A185333,A185342,A185345] Valsartan also slows the progression of diabetic nephropathy due to its renoprotective effects.[A174157,A174160,A174163] Improvements in chronic kidney disease with valsartan include both clinically and statistically significant decreases in urinary albumin and protein excretion in patients diagnosed with type 2 diabetes and in nondiabetic patients diagnosed with chronic kidney disease.[A174124,A173869]

Valsartan was initially approved in 1996 in Europe for the treatment of hypertension in adults. Shortly after, in 1997, this drug was approved in the United States.[A174124] Valsartan is generally well-tolerated with a side-effect profile superior to that of other antihypertensive drugs.[A174130,A174133]"
DB00178,"Ramipril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is metabolized to ramiprilat in the liver and, to a lesser extent, kidneys. Ramiprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Ramipril may be used in the treatment of hypertension, congestive heart failure, nephropathy, and to reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events."
DB00179,"A potent lipoxygenase inhibitor that interferes with arachidonic acid metabolism. The compound also inhibits formyltetrahydrofolate synthetase, carboxylesterase, and cyclooxygenase to a lesser extent. It also serves as an antioxidant in fats and oils. [PubChem]"
DB00180,"Flunisolide (marketed as AeroBid, Nasalide, Nasarel) is a corticosteroid with anti-inflammatory actions. It is often prescribed as treatment for allergic rhinitis and its principle mechanism of action involves activation of glucocorticoid receptors."
DB00181,"Baclofen is a gamma-aminobutyric acid (GABA) agonist used as a skeletal muscle relaxant. Although originally designed in 1962 to treat epilepsy, baclofen was not effective in treating this condition but instead was shown to reduce spasticity in selected patients.[A245338] Baclofen was reintroduced in 1971 as a treatment for spasticity and was later approved by the FDA in 1977.[A245323, A245338] Baclofen is used to manage severe muscle spasms of cerebral or spinal cord origins, including multiple sclerosis and traumatic brain injury.[L39429]

Baclofen was investigated for use in alcohol dependence and withdrawal; however, evidence is limited and there is inconsistent evidence to suggest its clinical efficacy in managing alcohol dependence or withdrawal symptoms.[A173905, A173908, A245338]"
DB00182,"Amphetamine, a compound discovered over 100 years ago, is one of the more restricted controlled drugs. It was previously used for a large variety of conditions and this changed until this point where its use is highly restricted. Amphetamine, with the chemical formula alpha-methylphenethylamine, was discovered in 1910 and first synthesized by 1927. After being proven to reduce drug-induced anesthesia and produce arousal and insomnia, amphetamine racemic mix was registered by Smith, Kline and French in 1935. Amphetamine structure presents one chiral center and it exists in the form of dextro- and levo-isomers.[A18540] The first product of Smith, Kline and French was approved by the FDA on 1976.[L5194]

During World War II, amphetamine was used to promote wakefulness in the soldiers. This use derived into a large overproduction of amphetamine and all the surplus after the war finalized ended up in the black market, producing the initiation of the illicit abuse.[A18540]"
DB00186,"Lorazepam is a short-acting and rapidly cleared benzodiazepine used commonly as a sedative and anxiolytic.[A957] It was developed by DJ Richards, presented and marketed initially by Wyeth Pharmaceuticals in the USA in 1977. The first historic FDA label approval is reported in 1985 by the company Mutual Pharm.[L5095]"
DB00187,"Esmolol, commonly marketed under the trade name Brevibloc, is a cardioselective beta-1 receptor blocker. It has a rapid onset but short duration of action without causing significant intrinsic sympathomimetic or membrane stabilizing activities at recommended therapeutic doses. It works by blocking beta-adrenergic receptors in the heart, which leads to decreased force and rate of heart contractions. Esmolol prevents the action of two naturally occurring substances: epinephrine and norepinephrine.

The FDA withdrew its approval for the use of all parenteral dosage form drug products containing esmolol hydrochloride that supply 250 milligrams/milliliter of concentrated esmolol per 10-milliliter ampule. Other esmolol formulations are still available for use.[L43942]"
DB00188,"Bortezomib is a dipeptide boronic acid derivative and proteasome inhibitor used to treat multiple myeloma and mantle cell lymphoma.[A204083] The 26S proteasome is a protein complex that degrades ubiquitinated proteins in the ubiquitin-proteasome pathway: reversible inhibition of the 26S proteasome, leading to cell cycle arrest and apoptosis of cancer cells, is thought to be the main mechanism of action of bortezomib.[L14180] However, multiple mechanisms may be involved in the anticancer activity of bortezomib.[A204083]

Bortezomib was first synthesized in 1995.[A204083] In May 2003, bortezomib became the first anticancer proteasome inhibitor that was approved by the FDA under the trade name VELCADE.[A204146] Phase I, II, III, and IV clinical trials are undergoing to investigate the therapeutic efficacy of bortezomib in leukemia, myasthenia gravis, systemic lupus erythematosus, rheumatoid arthritis, and solid tumours.[A214307]"
DB00190,"Carbidopa presents a chemical denomination of N-amino-alpha-methyl-3-hydroxy-L-tyrosine monohydrate. It potently inhibits aromatic amino acid decarboxylase (DDC) and due to its chemical properties, it does not cross the blood-brain barrier. Due to its activity, carbidopa is always administered concomitantly with [levodopa]. An individual formulation containing solely carbidopa was generated to treat nausea in patients where the combination therapy [levodopa]/carbidopa is not efficient reducing nausea.[T394] 

The first approved product by the FDA containing only carbidopa was developed by Amerigens Pharmaceuticals Ltd and approved on 2014.[L5110] On the other hand, the combination treatment of carbidopa/levodopa was originally developed by Watson Labs but the historical information by the FDA brings back to the approval of this combination therapy developed by Mayne Pharma in 1992.[L5113]"
DB00191,"Phentermine is a sympathomimetic amine anorectic agent and it was introduced in 1959 as part of an anti-obesity combination drug.[A174361, A174364] It is chemically related to amphetamine and it is commonly referred to as an atypical amphetamine.[A174370] Phentermine has not been reported an addictive potential which allows this agent to be classified under the Schedule IV drugs (low abuse potential).[A174367]

Phentermine was FDA approved for short-term weight management in 1959 and it became widely used in 1960. This initial product, formed by the combination of phentermine with [fenfluramine] and [dexfenfluramine] was discontinued after finding several reports of abnormal valves in nearly 30% of the consumers.[A174376, T403] Later on, phentermine was approved alone and in combination with topiramate in 2012 as a new alternative that required lower doses of phentermine to obtain the desired effect.[A174373]"
DB00193,"Tramadol is a centrally acting synthetic opioid analgesic and SNRI (serotonin/norepinephrine reuptake-inhibitor) that is structurally related to [codeine] and [morphine]. Due to its good tolerability profile and multimodal mechanism of action, tramadol is generally considered a lower-risk opioid option for the treatment of moderate to severe pain. It is considered a Step 2 option on the World Health Organization's pain ladder and has about 1/10th of the potency of [morphine]. 

Tramadol differs from other traditional opioid medications in that it doesn't just act as a μ-opioid agonist, but also affects monoamines by modulating the effects of neurotransmitters involved in the modulation of pain such as serotonin and norepinpehrine which activate descending pain inhibitory pathways.[A182279] Tramadol's effects on serotonin and norepinephrine mimic the effects of other SNRI antidepressants such as [duloxetine] and [venlafaxine].

Tramadol exists as a racemic mixture consisting of two pharmacologically active enantiomers that both contribute to its analgesic property through different mechanisms and are also themselves metabolized into active metabolites: (+)-tramadol and its primary metabolite (+)-O-desmethyl-tramadol (M1) are agonists of the μ opioid receptor while (+)-tramadol inhibits serotonin reuptake and (-)-tramadol inhibits norepinephrine reuptake. These pathways are complementary and synergistic, improving tramadol's ability to modulate the perception of and response to pain.[A4269,A183842] 

Tramadol has also been shown to affect a number of other pain modulators within the central nervous system as well as non-neuronal inflammatory markers and immune mediators.[A183728,A183734,A183761,A17159,A182300] Due to the broad spectrum of targets involved in pain and inflammation, it's not surprising that the evidence has shown that tramadol is effective for a number of pain types including neuropathic pain, post-operative pain, lower back pain, as well as pain associated with labour, osteoarthritis, fibromyalgia, and cancer. Due to its SNRI activity, tramadol also has anxiolytic, antidepressant, and anti-shivering effects which are all frequently found as comorbidities with pain.[A182300]

Similar to other opioid medications, tramadol poses a risk for development of tolerance, dependence and abuse. If used in higher doses, or with other opioids, there is a dose-related risk of overdose, respiratory depression, and death.[A183830,F4679] However, unlike other opioid medications, tramadol use also carries a risk of seizure and serotonin syndrome, particularly if used with other serotonergic medications.[A183836,A179926]"
DB00195,A cardioselective beta-1-adrenergic antagonist with no partial agonist activity.
DB00199,"Erythromycin is a bacteriostatic antibiotic drug produced by a strain of Saccharopolyspora erythraea (formerly Streptomyces erythraeus) and belongs to the macrolide group of antibiotics which consists of [Azithromycin], [Clarithromycin], [Spiramycin] and others. It was originally discovered in 1952.[L5245] Erythromycin is widely used for treating a variety of infections, including those caused by gram-positive and gram-negative bacteria.[L5245,L7261] It is available for administration in various forms, including intravenous, topical, and eye drop preparations.[L5245]"
DB00201,"Caffeine is a drug of the methylxanthine class used for a variety of purposes, including certain respiratory conditions of the premature newborn, pain relief, and to combat drowsiness. Caffeine is similar in chemical structure to [Theophylline] and [Theobromine].[A187691,L9851] It can be sourced from coffee beans, but also occurs naturally in various teas and cacao beans, which are different than coffee beans.[T716] Caffeine is also used in a variety of cosmetic products and can be administered topically, orally, by inhalation, or by injection.[T716]

The caffeine citrate injection, used for apnea of the premature newborn, was initially approved by the FDA in 1999.[L9863] According to an article from 2017, more than 15 million babies are born prematurely worldwide. This correlates to about 1 in 10 births. Premature birth can lead to apnea and bronchopulmonary dysplasia, a condition that interferes with lung development and may eventually cause asthma or early onset emphysema in those born prematurely.[A187694] Caffeine is beneficial in preventing and treating apnea and bronchopulmonary dysplasia in newborns, improving the quality of life of premature infants.[T716]"
DB00203,"In eliciting its mechanism of action, sildenafil ultimately prevents or minimizes the breakdown of cyclic guanosine monophosphate (cGMP) by inhibiting cGMP specific phosphodiesterase type 5 (PDE5) [F3850, F3853, F3856, F3859, F3883, F3886, L5611, L5614]. The result of doing so allows cGMP present in both the penis and pulmonary vasculature to elicit smooth muscle relaxation and vasodilation that subsequently facilitates relief in pulmonary arterial hypertension and the increased flow of blood into the spongy erectile tissue of the penis that consequently allows it to grow in size and become erect and rigid [F3850, F3853, F3856, F3859, F3883, F3886, L5611, L5614].

Interestingly enough, it is precisely via this mechanism why sildenafil was at first researched as a potential treatment for angina - or chest pain associated with inadequate blood flow to the heart - before being serendipitously indicated for treating erectile dysfunction in the late 1980s [A175732]. Nevertheless, it is because of this mechanism that sildenafil is also indicated for treating pulmonary arterial hypertension but is also additionally notorious for interacting with various anti-anginal or anti-hypertensive agents to develop potentially rapid, excessive, and/or fatal hypotensive crises [A175579, A175582, A175654].

Regardless, sildenafil, among a variety of other similar or related PDE5 inhibitors, has become a common and effective treatment for erectile dysfunction and since its formal approval for medical use in the public in 1998 [A175732], continues to see millions of prescriptions written for it internationally. Although the medication has historically been most popularly recognized as Pfizer's brand name Viagra, sildenafil is currently available generically and even as a non-prescription over the counter medication in some countries [L5656]."
DB00204,"Dofetilide is a class III antiarrhythmic agent that is approved by the Food and Drug Administration (FDA) for the maintenance of sinus rhythm in individuals prone to the formation of atrial fibrillation and flutter, and for the chemical cardioversion to sinus rhythm from atrial fibrillation and flutter."
DB00206,"An alkaloid found in the roots of Rauwolfia serpentina and R. vomitoria. Reserpine inhibits the uptake of norepinephrine into storage vesicles resulting in depletion of catecholamines and serotonin from central and peripheral axon terminals. It has been used as an antihypertensive and an antipsychotic as well as a research tool, but its adverse effects limit its clinical use.

The FDA withdrew its approval for the use of all oral dosage form drug products containing more than 1 mg of reserpine.[L43942]"
DB00208,"Ticlopidine is an effective inhibitor of platelet aggregation. It is a prodrug that is metabolised to an active form, which blocks the ADP receptor that is involved in GPIIb/IIIa receptor activation leading to platelet aggregation. Ticlopidine is marketed under the brand name Ticlid and is indicated for patients who cannot take aspirin or in whom aspirin has not worked to prevent a thrombotic stroke. The FDA label includes a black-box warning of neutropenia, aplastic anemia, thrombotic thrombocytopenia purpura, and agranulocytosis, so it is necessary to monitor patients' WBC and platelets when they are taking ticlopidine."
DB00210,"Acne vulgaris is a multifactorial disorder of the pilosebaceous unit involving increased sebum production, inflammation, and hyperproliferation/hyperkeratinization of the follicular infundibulum. It is also associated with _Cutibacterium acnes_ (also known as _Propionibacterium acnes_). Adapalene is a third-generation topical retinoid used for the treatment of acne vulgaris.[A193518] Adapalene has similar efficacy but a superior safety profile compared to tretinoin.[A193521] [Tazarotene] is more efficacious than adapalene but is designated as pregnancy category X and hence is contraindicated in pregnant women.[A193518] Adapalene can also be combined with benzoyl peroxide (BPO), which possesses bactericidal properties[A193524], and either adapalene alone, or adapalene BPO combination products, are commonly used to treat mild-to-severe acne.[A193518]

Differin®, produced by Galderma Labs, was first granted FDA approval on May 31st, 1996, as a 0.1% adapalene topical solution. Differin was later made available as 0.1% gel, cream, or lotion, or 0.3% gel products. On December 8th, 2008, Galderma Labs gained FDA approval for Epiduo®, a 0.1% adapalene, 2.5% BPO combination gel.[L12873]"
DB00211,An ethanolamine derivative that is an adrenergic alpha agonist. It is used as a vasoconstrictor agent in the treatment of hypotension.
